Order_Date,Region,Product_Category,Sales,Cost,Profit,Customer_Segment,Salesperson,Payment_Method,Profit_margin,sales_category,Month,Profit_status,Year
20-02-2024,South,Furniture,513.35,322.6,190.75,Consumer,P. Singh,Cash,37.16%,Low,Feb,good,2024
17-11-2025,South,Accessories,451.24,382.87,68.37,Consumer,S. Patel,Cash,15.15%,Low,Nov,good,2025
12-11-2025,North,Furniture,3085.56,2061.92,1023.64,Enterprise,N. Iyer,Bank Transfer,33.18%,Low,Nov,low,2025
20-05-2024,North,Electronics,3321.69,2016.29,1305.4,Enterprise,P. Singh,Bank Transfer,39.30%,Low,May,low,2024
10-06-2025,West,Accessories,8527.25,5473.16,3054.09,Consumer,K. Das,Credit Card,35.82%,Medium,Jun,Excellent,2025
26-02-2025,East,Accessories,10567.51,7481.7,3085.81,Corporate,P. Singh,Credit Card,29.20%,High,Feb,Excellent,2025
15-10-2024,South,Electronics,11599.21,6980.31,4618.9,Enterprise,M. Rao,UPI,39.82%,High,Oct,Excellent,2024
23-07-2025,East,Electronics,2055.15,1547.62,507.53,Corporate,S. Patel,Debit Card,24.70%,Low,Jul,low,2025
07-02-2026,Central,Furniture,6036.34,3477.15,2559.19,Small Business,A. Kumar,Debit Card,42.40%,Medium,Feb,low,2026
10-09-2023,North,Furniture,9214.15,7264.91,1949.24,Small Business,S. Patel,UPI,21.15%,Medium,Sep,low,2023
24-09-2025,South,Office Supplies,11370.64,7973.68,3396.96,Corporate,S. Patel,Cash,29.87%,High,Sep,Excellent,2025
26-12-2024,Central,Software,8697.39,6748.42,1948.97,Small Business,S. Patel,Debit Card,22.41%,Medium,Dec,low,2024
15-05-2026,North,Furniture,6907.3,4492.29,2415.01,Corporate,K. Das,Cash,34.96%,Medium,May,low,2026
14-11-2023,West,Accessories,5082.47,3524.43,1558.04,Small Business,A. Kumar,Credit Card,30.66%,Medium,Nov,low,2023
03-01-2025,East,Software,8527.22,6940.53,1586.69,Corporate,V. Gupta,Credit Card,18.61%,Medium,Jan,low,2025
